"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_5160","","ABC transporter permease","3","13","1","56","75.0","81.15942028985508","12.923076923076923","0.030998778056466555","1.0","1.0","4","3","1","0.625","0.625"
"group_4147","","putative FMN-dependent luciferase-like monooxygenase","3","13","1","56","75.0","81.15942028985508","12.923076923076923","0.030998778056466555","1.0","1.0","4","3","1","0.625","0.625"
"group_3721","","alkylhydroperoxidase domain protein","3","13","1","56","75.0","81.15942028985508","12.923076923076923","0.030998778056466555","1.0","1.0","4","3","1","0.625","0.625"
"group_8942","","isopentenyl-diphosphate Delta-isomerase","3","13","1","56","75.0","81.15942028985508","12.923076923076923","0.030998778056466555","1.0","1.0","3","3","1","0.25","1.0"
"group_1763","","ABC transporter ATP-binding protein","3","13","1","56","75.0","81.15942028985508","12.923076923076923","0.030998778056466555","1.0","1.0","4","3","1","0.625","0.625"
"group_7731","","hypothetical protein;TIGR04028 family ABC transporter substrate-binding protein","3","13","1","56","75.0","81.15942028985508","12.923076923076923","0.030998778056466555","1.0","1.0","4","3","1","0.625","0.625"
"group_8193","","GNAT family N-acetyltransferase","2","65","2","4","50.0","5.797101449275362","0.06153846153846154","0.03171540659482012","1.0","1.0","3","1","2","1.0","1.0"
"group_15133","","IcmT/TraK family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_10860","","acyltransferase;acyltransferase family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_8883","","relaxase/mobilization nuclease domain-containing protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_8528","","conjugal transfer protein TraP","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_6481","","type IV pilus biogenesis protein PilP","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_5519","","TraY domain-containing protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_3368","","plasmid transfer ATPase TraJ","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_1836","","PilN family type IVB pilus formation outer membrane protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_14770","","DUF6290 family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_10533","","pyrroloquinoline quinone biosynthesis peptide chaperone PqqD","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_8882","","molybdopterin-guanine dinucleotide biosynthesis protein MobC;hypothetical protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_7674","","helix-turn-helix domain-containing protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_5978","","plasmid IncI1-type surface exclusion protein ExcA","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_5207","","DotI/IcmL/TraM family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_3221","","conjugal transfer protein TraW","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_898","","DotA/TraY family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_14592","","hypothetical protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_10235","","DotD/TraH family lipoprotein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_8856","","DUF5710 domain-containing protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_7206","","type IV secretion system DotC family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_5941","","hypothetical protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_4981","","AraC family transcriptional regulator","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_3208","","hypothetical protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_782","","conjugal transfer protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_13739","","type IV pilus biogenesis protein PilM","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_9588","","phospholipase D family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_8689","","toxin co-regulated pilus biosynthesis Q family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_6611","","hydrolase","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_5940","","DsbC family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_4909","","conjugal transfer protein TraX","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_2533","","PQQ-dependent sugar dehydrogenase","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_267","","conjugal transfer protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_12939","","conjugal transfer protein TraQ","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_9173","","pyrroloquinoline quinone biosynthesis protein PqqB","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_8530","","hypothetical protein;conjugal transfer protein TraR","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_6482","","type II secretion system F family protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_5761","","conjugal transfer protein TraT;conjugal transfer protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_4834","","DotH/IcmK family type IV secretion protein","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","3","2","2","1.0","1.0"
"group_2461","","pyrroloquinoline quinone precursor peptide PqqA","2","4","2","65","50.0","94.20289855072464","16.25","0.031715406594820125","1.0","1.0","1","1","1","1.0","1.0"
"group_11670","","HNH endonuclease","4","28","0","41","100.0","59.42028985507246","inf","0.03303841312716495","1.0","1.0","4","4","0","0.125","0.125"
"group_5709","","MFS transporter","4","29","0","40","100.0","57.971014492753625","inf","0.03759543562746352","1.0","1.0","4","4","0","0.125","0.125"
"group_10584","","hypothetical protein","0","39","4","30","0.0","43.47826086956522","0.0","0.04260816037779209","1.0","1.0","3","0","3","0.25","0.25"
"group_9460","","helix-turn-helix transcriptional regulator;helix-turn-helix domain-containing protein","4","30","0","39","100.0","56.52173913043478","inf","0.04260816037779209","1.0","1.0","4","4","0","0.125","0.125"
"group_13054","","hypothetical protein;DUF2570 domain-containing protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_8626","","A24 family peptidase;hypothetical protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_12838","","type 1 fimbrial protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","4","2","2","1.0","1.0"
"group_8227","","IclR family transcriptional regulator","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","2","1","2","0.5","1.0"
"group_12468","","hypothetical protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_4118","","hypothetical protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","2","1","2","0.5","1.0"
"group_15031","","hypothetical protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_11464","","MFS transporter","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_3703","","MFS transporter","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","2","1","2","0.5","1.0"
"group_13563","","lytic transglycosylase domain-containing protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_10432","","alcohol dehydrogenase;hypothetical protein","2","5","2","64","50.0","92.7536231884058","12.8","0.043539777477651344","1.0","1.0","3","2","2","1.0","1.0"
"group_9753","","sulfite reductase flavoprotein subunit alpha","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","3","1","2","1.0","1.0"
"group_5283","","LysR family transcriptional regulator","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","4","1","3","0.625","0.625"
"group_9308","","MgtC/SapB family protein","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","4","1","3","0.625","0.625"
"group_8256","","LysR family transcriptional regulator","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","4","1","3","0.625","0.625"
"group_6428","","ABC transporter ATP-binding protein","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","4","1","3","0.625","0.625"
"group_9856","","ABC transporter permease subunit","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","4","1","3","0.625","0.625"
"group_6219","","PAS domain S-box protein;PAS sensor domain-containing protein","1","54","3","15","25.0","21.73913043478261","0.09259259259259259","0.04404509247264398","1.0","1.0","3","1","2","1.0","1.0"
"group_9767","","multidrug effflux MFS transporter","0","38","4","31","0.0","44.927536231884055","0.0","0.04810598752331375","1.0","1.0","4","0","4","0.125","0.125"
"group_6270","","helix-turn-helix transcriptional regulator","0","38","4","31","0.0","44.927536231884055","0.0","0.04810598752331375","1.0","1.0","4","0","4","0.125","0.125"
