Assembly	Host	Group	MGE	ID	Num
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_7	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_9	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_15	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_17	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047682.1_IS_21	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047683.1_IS_4	2
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047683.1_IS_5	3
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_3	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_5	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_9	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_10	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_17	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_19	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_20	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047688.1_IS_21	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047689.1_IS_4	2
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047689.1_IS_5	3
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_3	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_5	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_9	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_10	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_17	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_18	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047685.1_IS_19	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047686.1_IS_3	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047686.1_IS_4	2
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047686.1_IS_5	3
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_3	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_5	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_9	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_10	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_16	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_18	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_19	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047691.1_IS_20	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047692.1_IS_4	2
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	IS	NZ_CP047692.1_IS_5	3
GCF_011602465.1_ASM1160246v1	Plant	Plant_StrictFilt_scoary	IS	NZ_CP050013.1_IS_4	1
GCF_013426135.1_ASM1342613v1	Human	Human_StrictFilt_scoary	IS	NZ_CP053925.1_IS_14	2
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	IS	NZ_CP063238.1_IS_6	1
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	IS	NZ_CP063238.1_IS_7	1
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	IS	NZ_CP063238.1_IS_9	1
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP026050.1	5
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP026050.1	21
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP011642.1	4
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	Phages	prophage4_NZ_CP011642.1	2
GCF_001280365.1_ASM128036v1	Plant	Plant_StrictFilt_scoary	Phages	prophage1_NZ_CP012639.1	5
GCF_001280365.1_ASM128036v1	Plant	Plant_StrictFilt_scoary	Phages	prophage3_NZ_CP012639.1	6
GCF_001294565.1_ASM129456v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP012685.1	1
GCF_001294565.1_ASM129456v1	Human	Human_StrictFilt_scoary	Phages	prophage4_NZ_CP012685.1	1
GCF_002220515.1_ASM222051v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP018924.1	21
GCF_002220515.1_ASM222051v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP018924.1	3
GCF_002220535.1_ASM222053v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP018927.1	4
GCF_002220535.1_ASM222053v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP018927.1	1
GCF_002220595.1_ASM222059v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP018930.1	1
GCF_002220635.1_ASM222063v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP018917.1	18
GCF_002220655.1_ASM222065v1	Human	Human_StrictFilt_scoary	Phages	prophage5_NZ_CP018925.1	3
GCF_002220675.1_ASM222067v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP018926.1	2
GCF_002220715.1_ASM222071v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP018919.1	20
GCF_002220715.1_ASM222071v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP018919.1	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP029449.1	4
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	Phages	prophage4_NZ_CP029449.1	2
GCF_006711245.1_ASM671124v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP041129.1	21
GCF_006711525.1_ASM671152v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP041131.1	18
GCF_006716725.1_ASM671672v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP041132.1	21
GCF_006716725.1_ASM671672v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP041132.1	2
GCF_009834305.1_ASM983430v1	Insect	Insect_StrictFilt_scoary	Phages	prophage1_NZ_CP033623.1	3
GCF_009858195.1_ASM985819v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP047391.1	1
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP047679.1	21
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP047679.1	3
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP047682.1	5
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	Phages	prophage4_NZ_CP047682.1	21
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP047688.1	21
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP047688.1	5
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP047685.1	21
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP047685.1	5
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP047691.1	21
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP047691.1	5
GCF_013122155.1_ASM1312215v1	Insect	Insect_StrictFilt_scoary	Phages	prophage1_NZ_CP053378.1	2
GCF_013426135.1_ASM1342613v1	Human	Human_StrictFilt_scoary	Phages	prophage6_NZ_CP053925.1	1
GCF_013426155.1_ASM1342615v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP053927.1	2
GCF_013426155.1_ASM1342615v1	Human	Human_StrictFilt_scoary	Phages	prophage2_NZ_CP053927.1	1
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	Phages	prophage1_NZ_CP063238.1	21
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	Phages	prophage3_NZ_CP063238.1	1
GCF_015160915.1_ASM1516091v1	Insect	Insect_StrictFilt_scoary	Phages	prophage1_NZ_CP063354.1	2
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	GI	NZ_CP026050_gi1_NZ_CP026050.1	11
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	GI	NZ_CP026050_gi4_NZ_CP026050.1	1
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	GI	NZ_CP026050_gi5_NZ_CP026050.1	3
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	GI	NZ_CP026050_gi6_NZ_CP026050.1	2
GCF_000783915.2_ASM78391v2	Human	Human_StrictFilt_scoary	GI	NZ_CP026050_gi8_NZ_CP026050.1	9
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	GI	NZ_CP011639_gi19_NZ_CP011639.1	5
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	GI	NZ_CP011641_gi16_NZ_CP011641.1	5
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	GI	NZ_CP011642_gi4_NZ_CP011642.1	2
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	GI	NZ_CP011642_gi5_NZ_CP011642.1	1
GCF_001022215.1_ASM102221v1	Human	Human_StrictFilt_scoary	GI	NZ_CP011642_gi6_NZ_CP011642.1	1
GCF_001280365.1_ASM128036v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP012639_gi1_NZ_CP012639.1	5
GCF_001280365.1_ASM128036v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP012639_gi2_NZ_CP012639.1	6
GCF_001280365.1_ASM128036v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP012639_gi4_NZ_CP012639.1	5
GCF_001280365.1_ASM128036v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP012639_gi5_NZ_CP012639.1	7
GCF_001294565.1_ASM129456v1	Human	Human_StrictFilt_scoary	GI	NZ_CP012685_gi2_NZ_CP012685.1	2
GCF_001294565.1_ASM129456v1	Human	Human_StrictFilt_scoary	GI	NZ_CP012685_gi3_NZ_CP012685.1	1
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi1_NZ_CP013046.1	2
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi2_NZ_CP013046.1	28
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi4_NZ_CP013046.1	9
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi5_NZ_CP013046.1	4
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi6_NZ_CP013046.1	4
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi7_NZ_CP013046.1	5
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi8_NZ_CP013046.1	1
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013046_gi9_NZ_CP013046.1	69
GCF_001417865.2_ASM141786v2	Plant	Plant_StrictFilt_scoary	GI	NZ_CP013047_gi10_NZ_CP013047.1	37
GCF_002220515.1_ASM222051v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018924_gi2_NZ_CP018924.1	2
GCF_002220575.1_ASM222057v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018929_gi5_NZ_CP018929.1	1
GCF_002220615.1_ASM222061v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018915_gi1_NZ_CP018915.1	1
GCF_002220615.1_ASM222061v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018915_gi2_NZ_CP018915.1	2
GCF_002220615.1_ASM222061v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018915_gi4_NZ_CP018915.1	3
GCF_002220635.1_ASM222063v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018917_gi2_NZ_CP018917.1	1
GCF_002220635.1_ASM222063v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018917_gi5_NZ_CP018917.1	3
GCF_002220635.1_ASM222063v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018917_gi7_NZ_CP018917.1	1
GCF_002220655.1_ASM222065v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018925_gi6_NZ_CP018925.1	5
GCF_002220675.1_ASM222067v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018926_gi3_NZ_CP018926.1	3
GCF_002220695.1_ASM222069v1	Human	Human_StrictFilt_scoary	GI	NZ_CP018928_gi5_NZ_CP018928.1	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020503_gi1_NZ_CP020503.1	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020503_gi2_NZ_CP020503.1	2
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020503_gi8_NZ_CP020503.1	2
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020506_gi14_NZ_CP020506.1	1
GCF_003031545.1_ASM303154v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020506_gi15_NZ_CP020506.1	11
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020507_gi1_NZ_CP020507.1	1
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020507_gi7_NZ_CP020507.1	2
GCF_003031645.1_ASM303164v1	Human	Human_StrictFilt_scoary	GI	NZ_CP020508_gi15_NZ_CP020508.1	13
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	GI	NZ_CP029446_gi19_NZ_CP029446.1	5
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	GI	NZ_CP029448_gi17_NZ_CP029448.1	3
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	GI	NZ_CP029449_gi5_NZ_CP029449.1	2
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	GI	NZ_CP029449_gi6_NZ_CP029449.1	1
GCF_003146705.1_ASM314670v1	Human	Human_StrictFilt_scoary	GI	NZ_CP029449_gi7_NZ_CP029449.1	1
GCF_003186475.1_ASM318647v1	Human	Human_StrictFilt_scoary	GI	NZ_CP021164_gi1_NZ_CP021164.1	1
GCF_003186475.1_ASM318647v1	Human	Human_StrictFilt_scoary	GI	NZ_CP021164_gi2_NZ_CP021164.1	1
GCF_003186475.1_ASM318647v1	Human	Human_StrictFilt_scoary	GI	NZ_CP021164_gi3_NZ_CP021164.1	1
GCF_006711125.1_ASM671112v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041125_gi2_NZ_CP041125.1	1
GCF_006711145.1_ASM671114v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041126_gi1_NZ_CP041126.1	1
GCF_006711245.1_ASM671124v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041129_gi2_NZ_CP041129.1	2
GCF_006711245.1_ASM671124v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041129_gi4_NZ_CP041129.1	7
GCF_006711245.1_ASM671124v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041129_gi7_NZ_CP041129.1	7
GCF_006711405.1_ASM671140v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041130_gi2_NZ_CP041130.1	1
GCF_006716725.1_ASM671672v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041132_gi3_NZ_CP041132.1	1
GCF_006716725.1_ASM671672v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041132_gi5_NZ_CP041132.1	2
GCF_006716725.1_ASM671672v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041132_gi9_NZ_CP041132.1	5
GCF_006716825.1_ASM671682v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041134_gi2_NZ_CP041134.1	1
GCF_006842785.1_ASM684278v1	Human	Human_StrictFilt_scoary	GI	NZ_CP041123_gi2_NZ_CP041123.1	1
GCF_009834305.1_ASM983430v1	Insect	Insect_StrictFilt_scoary	GI	NZ_CP033623_gi2_NZ_CP033623.1	3
GCF_009858195.1_ASM985819v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047391_gi4_NZ_CP047391.1	2
GCF_009858195.1_ASM985819v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047392_gi6_NZ_CP047392.1	8
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047679_gi2_NZ_CP047679.1	1
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047679_gi4_NZ_CP047679.1	3
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047679_gi5_NZ_CP047679.1	8
GCF_009909345.1_ASM990934v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047680_gi9_NZ_CP047680.1	17
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047682_gi1_NZ_CP047682.1	2
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047682_gi2_NZ_CP047682.1	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047682_gi4_NZ_CP047682.1	9
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047682_gi5_NZ_CP047682.1	11
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047682_gi7_NZ_CP047682.1	1
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047682_gi8_NZ_CP047682.1	3
GCF_009909365.1_ASM990936v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047683_gi11_NZ_CP047683.1	18
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047688_gi1_NZ_CP047688.1	2
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047688_gi3_NZ_CP047688.1	3
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047688_gi5_NZ_CP047688.1	1
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047688_gi7_NZ_CP047688.1	10
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047688_gi8_NZ_CP047688.1	6
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047688_gi10_NZ_CP047688.1	2
GCF_009909385.1_ASM990938v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047689_gi12_NZ_CP047689.1	18
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047685_gi1_NZ_CP047685.1	2
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047685_gi3_NZ_CP047685.1	3
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047685_gi5_NZ_CP047685.1	1
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047685_gi7_NZ_CP047685.1	10
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047685_gi8_NZ_CP047685.1	6
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047685_gi10_NZ_CP047685.1	2
GCF_009909405.1_ASM990940v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047686_gi12_NZ_CP047686.1	18
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047691_gi1_NZ_CP047691.1	2
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047691_gi3_NZ_CP047691.1	3
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047691_gi5_NZ_CP047691.1	1
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047691_gi7_NZ_CP047691.1	10
