Group	Ontology	Cluster	Num_genomes	Num_genes	Num_terms	Num_term_groups	Num_annot	Percent_annot	Num_ident	Jaccard_coeff
Accessory	COG	group_11380	7	7	4	1	4	0.571428571428571	4	0.428571428571429
Accessory	GO:biological_process	group_11366	4	4	102	51	2	0.5	2	0.333333333333333
Accessory	GO:molecular_function	group_11366	4	4	14	7	2	0.5	2	0.333333333333333
Accessory	COG	group_11144	29	29	18	1	18	0.620689655172414	18	0.512315270935961
Accessory	KEGG	group_11143	34	38	32	1	32	0.842105263157895	32	0.726884779516358
Accessory	COG	group_11125	21	22	42	2	21	0.954545454545455	21	0.909090909090909
Accessory	KEGG	group_11125	21	22	8	1	8	0.363636363636364	14	0.515151515151515
Accessory	COG	group_11056	3	4	3	1	3	0.75	3	0.5
Accessory	COG	group_11048	5	5	1	1	1	0.2	4	0.6
Accessory	COG	group_11022	39	39	27	1	27	0.692307692307692	27	0.562753036437247
Accessory	COG	group_10933	36	36	35	1	35	0.972222222222222	35	0.944444444444444
Accessory	COG	group_10932	3	3	1	1	1	0.333333333333333	2	0.333333333333333
Accessory	COG	group_10834	29	29	5	1	5	0.172413793103448	24	0.704433497536946
Accessory	GO:cellular_component	group_10746	2	2	5	5	1	0.5	1	0
Accessory	GO:biological_process	group_10678	12	12	196	28	7	0.583333333333333	7	0.46969696969697
Accessory	GO:molecular_function	group_10678	12	12	105	15	7	0.583333333333333	7	0.46969696969697
Accessory	GO:cellular_component	group_10678	12	12	84	12	7	0.583333333333333	7	0.46969696969697
Accessory	COG	group_10621	3	4	3	1	3	0.75	3	0.5
Accessory	GO:biological_process	group_10523	11	11	210	42	5	0.454545454545455	6	0.454545454545455
Accessory	GO:molecular_function	group_10523	11	11	115	23	5	0.454545454545455	6	0.454545454545455
Accessory	GO:cellular_component	group_10523	11	11	55	11	5	0.454545454545455	6	0.454545454545455
Accessory	GO:cellular_component	group_10442	8	8	15	5	3	0.375	5	0.464285714285714
Accessory	COG	group_10195	2	2	1	1	1	0.5	1	0
Accessory	GO:biological_process	group_10195	2	2	66	66	1	0.5	1	0
Accessory	GO:molecular_function	group_10195	2	2	7	7	1	0.5	1	0
Accessory	GO:cellular_component	group_10195	2	2	25	25	1	0.5	1	0
Accessory	KEGG	group_10169	33	41	32	4	8	0.195121951219512	33	0.678048780487805
