Group	Ontology	Term	Annotation	Annotated	Significant	Expected	P_val
Accessory	GO:biological_process	GO:0000272	polysaccharide catabolic process	428	66	15.3	2.6E-23
Accessory	GO:biological_process	GO:0019042	viral latency	107	34	3.83	4.2E-23
Accessory	GO:biological_process	GO:0009056	catabolic process	17900	878	639.9	5.8E-23
Accessory	GO:biological_process	GO:0009251	glucan catabolic process	427	65	15.26	1.1E-22
Accessory	GO:biological_process	GO:0006857	oligopeptide transport	1201	118	42.93	1.7E-22
Accessory	GO:biological_process	GO:0006041	glucosamine metabolic process	15	15	0.54	2E-22
Accessory	GO:biological_process	GO:0006043	glucosamine catabolic process	15	15	0.54	2E-22
Accessory	GO:biological_process	GO:0030447	filamentous growth	15	15	0.54	2E-22
Accessory	GO:biological_process	GO:0036180	filamentous growth of a population of un...	15	15	0.54	2E-22
Accessory	GO:biological_process	GO:0044182	filamentous growth of a population of un...	15	15	0.54	2E-22
Accessory	GO:biological_process	GO:0098732	macromolecule deacylation	269	51	9.62	2E-22
Accessory	GO:biological_process	GO:0009992	cellular water homeostasis	268	50	9.58	1.1E-21
Accessory	GO:biological_process	GO:0030104	water homeostasis	268	50	9.58	1.1E-21
Accessory	GO:biological_process	GO:0006820	anion transport	7175	414	256.5	1.1E-21
Accessory	GO:biological_process	GO:0044248	cellular catabolic process	14404	723	514.92	4E-21
Accessory	GO:biological_process	GO:1901071	glucosamine-containing compound metaboli...	346	56	12.37	4.9E-21
Accessory	GO:biological_process	GO:0043150	DNA synthesis involved in double-strand ...	14	14	0.5	5.5E-21
Accessory	GO:biological_process	GO:0015931	nucleobase-containing compound transport	506	68	18.09	1.4E-20
Accessory	GO:biological_process	GO:0015711	organic anion transport	6029	357	215.53	1.6E-20
Accessory	GO:biological_process	GO:0046690	response to tellurium ion	13	13	0.46	1.5E-19
Accessory	GO:biological_process	GO:0006569	tryptophan catabolic process	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0009074	aromatic amino acid family catabolic pro...	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0019045	latent virus replication	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0019046	release from viral latency	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0019441	tryptophan catabolic process to kynureni...	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0019442	tryptophan catabolic process to acetyl-C...	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0032359	provirus excision	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0042436	indole-containing compound catabolic pro...	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0046218	indolalkylamine catabolic process	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0070189	kynurenine metabolic process	103	30	3.68	2.4E-19
Accessory	GO:biological_process	GO:0051179	localization	26962	1214	963.86	4E-19
Accessory	GO:biological_process	GO:0010447	response to acidic pH	263	46	9.4	6.3E-19
Accessory	GO:biological_process	GO:0005996	monosaccharide metabolic process	3265	220	116.72	6.4E-19
Accessory	GO:biological_process	GO:0030307	positive regulation of cell growth	12	12	0.43	4.3E-18
Accessory	GO:biological_process	GO:0045927	positive regulation of growth	12	12	0.43	4.3E-18
Accessory	GO:biological_process	GO:0051596	methylglyoxal catabolic process	656	74	23.45	7E-18
Accessory	GO:biological_process	GO:0019243	methylglyoxal catabolic process to D-lac...	499	63	17.84	8E-18
Accessory	GO:biological_process	GO:0061727	methylglyoxal catabolic process to lacta...	499	63	17.84	8E-18
Accessory	GO:biological_process	GO:0015748	organophosphate ester transport	577	68	20.63	1.6E-17
Accessory	GO:biological_process	GO:0042908	xenobiotic transport	494	62	17.66	1.9E-17
Accessory	GO:biological_process	GO:0045117	azole transport	499	62	17.84	3.2E-17
Accessory	GO:biological_process	GO:0006884	cell volume homeostasis	341	50	12.19	4.1E-17
Accessory	GO:biological_process	GO:0008361	regulation of cell size	341	50	12.19	4.1E-17
Accessory	GO:biological_process	GO:0032535	regulation of cellular component size	341	50	12.19	4.1E-17
Accessory	GO:biological_process	GO:0090066	regulation of anatomical structure size	341	50	12.19	4.1E-17
Accessory	GO:biological_process	GO:0034198	cellular response to amino acid starvati...	181	36	6.47	5.5E-17
Accessory	GO:biological_process	GO:1990928	response to amino acid starvation	181	36	6.47	5.5E-17
Accessory	GO:biological_process	GO:0034220	ion transmembrane transport	11074	560	395.88	6.1E-17
Accessory	GO:biological_process	GO:1901575	organic substance catabolic process	16886	797	603.65	1.2E-16
Accessory	GO:biological_process	GO:0046942	carboxylic acid transport	4942	289	176.67	4.1E-16
Accessory	GO:biological_process	GO:0009438	methylglyoxal metabolic process	729	74	26.06	2E-15
Accessory	GO:biological_process	GO:0042182	ketone catabolic process	729	74	26.06	2E-15
Accessory	GO:biological_process	GO:0019323	pentose catabolic process	336	47	12.01	2.2E-15
Accessory	GO:biological_process	GO:0015849	organic acid transport	5015	289	179.28	2.5E-15
Accessory	GO:biological_process	GO:0006760	folic acid-containing compound metabolic...	1111	96	39.72	4.9E-15
Accessory	GO:biological_process	GO:0042558	pteridine-containing compound metabolic ...	1111	96	39.72	4.9E-15
Accessory	GO:biological_process	GO:0032196	transposition	98	25	3.5	6.9E-15
Accessory	GO:biological_process	GO:1903509	liposaccharide metabolic process	2575	172	92.05	9.4E-15
Accessory	GO:biological_process	GO:0042180	cellular ketone metabolic process	2877	186	102.85	1.6E-14
Accessory	GO:biological_process	GO:0006351	transcription, DNA-templated	11736	572	419.55	2.4E-14
Accessory	GO:biological_process	GO:0046835	carbohydrate phosphorylation	952	84	34.03	7.7E-14
Accessory	GO:biological_process	GO:0042891	antibiotic transport	1631	120	58.31	2.1E-13
Accessory	GO:biological_process	GO:0035429	gluconate transmembrane transport	177	31	6.33	2.9E-13
Accessory	GO:biological_process	GO:0042873	aldonate transmembrane transport	177	31	6.33	2.9E-13
Accessory	GO:biological_process	GO:0045226	extracellular polysaccharide biosyntheti...	178	31	6.36	3.3E-13
Accessory	GO:biological_process	GO:0046379	extracellular polysaccharide metabolic p...	178	31	6.36	3.3E-13
Accessory	GO:biological_process	GO:0016485	protein processing	565	59	20.2	4E-13
Accessory	GO:biological_process	GO:0009991	response to extracellular stimulus	3548	211	126.84	9.1E-13
Accessory	GO:biological_process	GO:0017144	drug metabolic process	9172	455	327.89	1.2E-12
Accessory	GO:biological_process	GO:0071804	cellular potassium ion transport	1098	89	39.25	1.6E-12
Accessory	GO:biological_process	GO:0071805	potassium ion transmembrane transport	1098	89	39.25	1.6E-12
Accessory	GO:biological_process	GO:0098719	sodium ion import across plasma membrane	95	22	3.4	2.3E-12
Accessory	GO:biological_process	GO:1901367	response to L-cysteine	8	8	0.29	2.7E-12
Accessory	GO:biological_process	GO:0009432	SOS response	1256	97	44.9	2.7E-12
Accessory	GO:biological_process	GO:0097659	nucleic acid-templated transcription	12246	572	437.78	2.8E-11
Accessory	GO:biological_process	GO:0072344	rescue of stalled ribosome	253	34	9.04	4.6E-11
Accessory	GO:biological_process	GO:0006813	potassium ion transport	1171	89	41.86	4.8E-11
Accessory	GO:biological_process	GO:0015031	protein transport	1863	124	66.6	6E-11
Accessory	GO:biological_process	GO:0000305	response to oxygen radical	329	39	11.76	8.6E-11
Accessory	GO:biological_process	GO:0006089	lactate metabolic process	714	63	25.52	9.2E-11
Accessory	GO:biological_process	GO:0051704	multi-organism process	3306	191	118.19	1.2E-10
Accessory	GO:biological_process	GO:0090605	submerged biofilm formation	640	58	22.88	1.8E-10
Accessory	GO:biological_process	GO:0034308	primary alcohol metabolic process	325	38	11.62	2.2E-10
Accessory	GO:biological_process	GO:0046700	heterocycle catabolic process	4989	264	178.35	2.6E-10
Accessory	GO:biological_process	GO:0046164	alcohol catabolic process	330	38	11.8	3.5E-10
Accessory	GO:biological_process	GO:0006470	protein dephosphorylation	866	70	30.96	4.1E-10
Accessory	GO:biological_process	GO:0015757	galactose transmembrane transport	248	32	8.87	4.8E-10
Accessory	GO:biological_process	GO:0006081	cellular aldehyde metabolic process	2706	160	96.74	7.6E-10
Accessory	GO:biological_process	GO:0006040	amino sugar metabolic process	634	56	22.66	9.4E-10
Accessory	GO:biological_process	GO:0032774	RNA biosynthetic process	12537	572	448.18	9.8E-10
Accessory	GO:biological_process	GO:0015947	methane metabolic process	6	6	0.21	2.1E-09
Accessory	GO:biological_process	GO:0018108	peptidyl-tyrosine phosphorylation	6	6	0.21	2.1E-09
Accessory	GO:biological_process	GO:0038083	peptidyl-tyrosine autophosphorylation	6	6	0.21	2.1E-09
Accessory	GO:biological_process	GO:0043446	cellular alkane metabolic process	6	6	0.21	2.1E-09
Accessory	GO:biological_process	GO:0043570	maintenance of DNA repeat elements	6	6	0.21	2.1E-09
Accessory	GO:biological_process	GO:0043571	maintenance of CRISPR repeat elements	6	6	0.21	2.1E-09
Accessory	GO:biological_process	GO:0071702	organic substance transport	16101	708	575.59	3.7E-09
Accessory	GO:biological_process	GO:0044270	cellular nitrogen compound catabolic pro...	5204	264	186.04	1.2E-08
Accessory	GO:biological_process	GO:0015074	DNA integration	246	29	8.79	2.4E-08
Accessory	GO:biological_process	GO:0044282	small molecule catabolic process	8264	389	295.43	2.5E-08
Accessory	GO:biological_process	GO:0009312	oligosaccharide biosynthetic process	1938	118	69.28	2.6E-08
Accessory	GO:biological_process	GO:0090502	RNA phosphodiester bond hydrolysis, endo...	405	39	14.48	3.2E-08
Accessory	GO:biological_process	GO:0006355	regulation of transcription, DNA-templat...	9898	453	353.84	4.6E-08
Accessory	GO:biological_process	GO:0019628	urate catabolic process	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0046415	urate metabolic process	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0052173	response to defenses of other organism i...	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0052200	response to host defenses	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0052564	response to immune response of other org...	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0052572	response to host immune response	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0075136	response to host	5	5	0.18	5.8E-08
Accessory	GO:biological_process	GO:0006972	hyperosmotic response	710	55	25.38	1.1E-07
Accessory	GO:biological_process	GO:0072350	tricarboxylic acid metabolic process	1244	82	44.47	1.4E-07
Accessory	GO:biological_process	GO:0098659	inorganic cation import across plasma me...	168	22	6.01	1.8E-07
Accessory	GO:biological_process	GO:0099587	inorganic ion import across plasma membr...	168	22	6.01	1.8E-07
Accessory	GO:biological_process	GO:0045184	establishment of protein localization	2153	124	76.97	2.3E-07
Accessory	GO:biological_process	GO:0045892	negative regulation of transcription, DN...	4583	230	163.84	2.3E-07
Accessory	GO:biological_process	GO:1902679	negative regulation of RNA biosynthetic ...	4583	230	163.84	2.3E-07
Accessory	GO:biological_process	GO:1903507	negative regulation of nucleic acid-temp...	4583	230	163.84	2.3E-07
Accessory	GO:biological_process	GO:0046395	carboxylic acid catabolic process	5295	257	189.29	6.5E-07
Accessory	GO:biological_process	GO:0032776	DNA methylation on cytosine	4	4	0.14	1.6E-06
Accessory	GO:biological_process	GO:0090116	C-5 methylation of cytosine	4	4	0.14	1.6E-06
Accessory	GO:biological_process	GO:0006402	mRNA catabolic process	552	43	19.73	2.2E-06
Accessory	GO:biological_process	GO:0009605	response to external stimulus	4421	217	158.05	2.3E-06
Accessory	GO:biological_process	GO:0006527	arginine catabolic process	469	38	16.77	3.4E-06
Accessory	GO:biological_process	GO:0046365	monosaccharide catabolic process	1614	94	57.7	4E-06
Accessory	GO:biological_process	GO:0051253	negative regulation of RNA metabolic pro...	4803	231	171.7	4.4E-06
Accessory	GO:biological_process	GO:1901616	organic hydroxy compound catabolic proce...	476	38	17.02	4.8E-06
Accessory	GO:biological_process	GO:0016054	organic acid catabolic process	5441	257	194.51	4.8E-06
Accessory	GO:biological_process	GO:0009268	response to pH	627	46	22.41	5E-06
Accessory	GO:biological_process	GO:0031667	response to nutrient levels	2074	114	74.14	5.9E-06
Accessory	GO:biological_process	GO:0043648	dicarboxylic acid metabolic process	3888	192	138.99	6E-06
Accessory	GO:biological_process	GO:0006073	cellular glucan metabolic process	1083	68	38.72	7.9E-06
Accessory	GO:biological_process	GO:0007059	chromosome segregation	1008	64	36.03	1E-05
Accessory	GO:biological_process	GO:0006468	protein phosphorylation	2524	132	90.23	1.3E-05
Accessory	GO:biological_process	GO:0040007	growth	395	31	14.12	4.7E-05
Accessory	GO:biological_process	GO:0051453	regulation of intracellular pH	239	22	8.54	5.7E-05
Accessory	GO:biological_process	GO:0044042	glucan metabolic process	1155	68	41.29	5.8E-05
Accessory	GO:biological_process	GO:1903506	regulation of nucleic acid-templated tra...	10627	453	379.9	5.9E-05
Accessory	GO:biological_process	GO:2001141	regulation of RNA biosynthetic process	10627	453	379.9	5.9E-05
Accessory	GO:biological_process	GO:0036211	protein modification process	7523	331	268.94	6.8E-05
Accessory	GO:biological_process	GO:0008104	protein localization	2444	124	87.37	8.3E-05
Accessory	GO:biological_process	GO:0006084	acetyl-CoA metabolic process	393	30	14.05	0.0001
Accessory	GO:biological_process	GO:0006464	cellular protein modification process	7521	329	268.87	0.00011
Accessory	GO:biological_process	GO:0030091	protein repair	702	45	25.1	0.00015
Accessory	GO:biological_process	GO:0045454	cell redox homeostasis	470	33	16.8	0.00022
Accessory	GO:biological_process	GO:1901661	quinone metabolic process	1535	82	54.87	0.00027
Accessory	GO:biological_process	GO:1901663	quinone biosynthetic process	1535	82	54.87	0.00027
Accessory	GO:biological_process	GO:1901361	organic cyclic compound catabolic proces...	5971	264	213.46	0.00027
Accessory	GO:biological_process	GO:0045934	negative regulation of nucleobase-contai...	5166	231	184.68	0.00035
Accessory	GO:biological_process	GO:0009607	response to biotic stimulus	312	24	11.15	0.00042
Accessory	GO:biological_process	GO:0019439	aromatic compound catabolic process	6113	267	218.53	0.00051
Accessory	GO:biological_process	GO:0006046	N-acetylglucosamine catabolic process	161	15	5.76	0.00071
Accessory	GO:biological_process	GO:0031668	cellular response to extracellular stimu...	3195	149	114.22	0.00074
Accessory	GO:biological_process	GO:0071496	cellular response to external stimulus	3195	149	114.22	0.00074
Accessory	GO:biological_process	GO:0046292	formaldehyde metabolic process	85	10	3.04	0.00092
Accessory	GO:biological_process	GO:0042181	ketone biosynthetic process	1608	82	57.48	0.00104
Accessory	GO:biological_process	GO:0006811	ion transport	13918	562	497.55	0.00123
Accessory	GO:biological_process	GO:0032102	negative regulation of response to exter...	2	2	0.07	0.00128
Accessory	GO:biological_process	GO:0036210	protein modification process in other or...	2	2	0.07	0.00128
Accessory	GO:biological_process	GO:0042732	D-xylose metabolic process	2	2	0.07	0.00128
Accessory	GO:biological_process	GO:0042843	D-xylose catabolic process	2	2	0.07	0.00128
Accessory	GO:biological_process	GO:0044033	multi-organism metabolic process	2	2	0.07	0.00128
Accessory	GO:biological_process	GO:0050922	negative regulation of chemotaxis	2	2	0.07	0.00128
Accessory	GO:biological_process	GO:0042710	biofilm formation	1380	71	49.33	0.00172
Accessory	GO:biological_process	GO:0051252	regulation of RNA metabolic process	11139	454	398.2	0.00192
Accessory	GO:biological_process	GO:0030004	cellular monovalent inorganic cation hom...	311	22	11.12	0.00208
Accessory	GO:biological_process	GO:0030641	regulation of cellular pH	311	22	11.12	0.00208
Accessory	GO:biological_process	GO:0008219	cell death	541	33	19.34	0.00238
Accessory	GO:biological_process	GO:0009395	phospholipid catabolic process	82	9	2.93	0.00264
Accessory	GO:biological_process	GO:0046341	CDP-diacylglycerol metabolic process	82	9	2.93	0.00264
